행정동_코드,행정동_코드_명,총_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,2030_유동인구,2030_유동인구비율
11410620,홍제1동,5567056.0,687461.0,762914.25,1450375.25,0.26052823072015086
11410640,홍제3동,3694885.5,460210.25,508950.75,969161.0,0.26229797919313064
11410655,홍제2동,2198254.25,257237.75,326227.25,583465.0,0.2654219820114075
11410660,홍은1동,3811727.0,452621.0,545765.5,998386.5,0.2619249752146468
11410685,홍은2동,4478564.0,758081.25,567185.5,1325266.75,0.2959133217701031
11410690,남가좌1동,1288693.0,123371.75,176032.5,299404.25,0.23233171127646382
11410700,남가좌2동,6115267.5,1344791.25,821788.5,2166579.75,0.3542902661249079
11410710,북가좌1동,2582258.5,246629.75,343721.5,590351.25,0.22861818443041237
11410720,북가좌2동,9577079.75,1299822.75,1405024.5,2704847.25,0.28242922901419926
11440555,아현동,7831431.25,924346.5,1433564.0,2357910.5,0.30108295977188076
11440565,공덕동,12437463.5,1774788.25,2315394.0,4090182.25,0.3288598394680716
11440585,도화동,3969814.0,550900.75,811575.75,1362476.5,0.3432091528721497
11440590,용강동,5652901.0,586541.0,931468.25,1518009.25,0.2685363232082076
11440600,대흥동,7056837.0,2173675.75,1115090.0,3288765.75,0.46603963645468927
11440610,염리동,5634695.0,725371.5,959865.0,1685236.5,0.29908211535850654
11440630,신수동,4878931.5,842133.5,738133.0,1580266.5,0.3238960210857644
11440655,서강동,6171295.25,1515605.5,1050119.5,2565725.0,0.4157514583344558
11440660,서교동,17272745.25,5820435.5,3577192.0,9397627.5,0.5440726047875916
11440680,합정동,4485020.5,1018213.0,1096233.75,2114446.75,0.471446395841446
11440690,망원1동,6750778.0,1293250.75,1492389.25,2785640.0,0.41263984684431926
11440700,망원2동,5620799.5,791677.25,1018263.5,1809940.75,0.3220077054874489
11440710,연남동,6489017.0,1646494.75,1450651.5,3097146.25,0.4772905125691611
11440720,성산1동,5936728.75,949666.25,1166079.5,2115745.75,0.3563824185162578
11440730,성산2동,6489677.0,1037866.5,1168534.0,2206400.5,0.3399861811304322
11440740,상암동,5268329.25,825816.25,1060611.25,1886427.5,0.3580694012243065
11470510,목1동,4570164.25,483657.25,517892.75,1001550.0,0.21914967279348876
11470520,목2동,6469867.75,847136.75,1137337.75,1984474.5,0.3067256668422627
11470530,목3동,4930660.0,583422.25,828195.25,1411617.5,0.28629382273367054
11470540,목4동,5545375.5,683044.25,657036.25,1340080.5,0.2416573052627365
11470550,목5동,4744095.0,395690.0,395715.75,791405.75,0.16681911934731491
11470560,신월1동,3901348.75,414381.25,580854.25,995235.5,0.2551003675331512
11470570,신월2동,3533258.75,346861.25,500838.0,847699.25,0.23991994642339737
11470580,신월3동,2642979.25,267753.0,366970.0,634723.0,0.24015436367879164
11470590,신월4동,3305206.75,294953.25,405299.0,700252.25,0.21186337284346887
11470600,신월5동,2767750.0,314494.75,414738.0,729232.75,0.26347493451359405
11470610,신월6동,885727.5,81387.5,134164.5,215552.0,0.24336153049329506
11470611,신월7동,2039471.75,198979.25,277258.25,476237.5,0.233510221458081
11470620,신정1동,3083216.0,312783.5,353168.5,665952.0,0.2159926518284804
11470630,신정2동,4363168.0,430710.5,436375.75,867086.25,0.19872859582761884
11470640,신정3동,7200580.5,731134.0,950752.25,1681886.25,0.23357648039626805
11470650,신정4동,10718590.25,1490922.5,1604594.0,3095516.5,0.2887988464714378
11470670,신정6동,1955787.25,160957.75,202488.75,363446.5,0.1858313065493192
11470680,신정7동,2941767.0,252894.0,300521.5,553415.5,0.18812349856395832
11500510,염창동,8212814.5,849693.5,1602784.25,2452477.75,0.2986159921181709
11500520,등촌1동,4744456.75,736791.0,1214794.25,1951585.25,0.41134008651253906
11500530,등촌2동,3771357.5,490007.0,738077.0,1228084.0,0.3256344698162399
11500535,등촌3동,7055015.0,907288.0,1269594.5,2176882.5,0.30855816748795006
11500540,화곡1동,16361273.25,2823017.5,3266314.75,6089332.25,0.37217960710973397
11500550,화곡2동,3627487.5,456315.75,543687.75,1000003.5,0.27567386517527626
11500560,화곡3동,3651998.0,500772.75,596447.75,1097220.5,0.3004438939999419
11500570,화곡4동,4121004.0,499388.75,594698.25,1094087.0,0.26549039991225437
11500590,화곡본동,8066067.5,1209681.0,1445195.75,2654876.75,0.3291414000688688
11500591,화곡6동,5425529.5,913821.25,1157746.75,2071568.0,0.3818185856329783
11500593,화곡8동,9922519.5,1312319.25,1643828.75,2956148.0,0.297923123255137
11500603,가양1동,3084066.0,489941.0,734854.5,1224795.5,0.39713660472895196
11500604,가양2동,2005234.5,201403.5,363358.25,564761.75,0.2816437429138587
11500605,가양3동,1650211.5,185624.75,404786.5,590411.25,0.35777913921942733
11500611,발산1동,5419363.75,602015.0,642783.75,1244798.75,0.22969462974320556
11500615,우장산동,6954644.5,936130.25,1016732.25,1952862.5,0.2807997590674836
11500620,공항동,5393891.5,629275.25,846188.75,1475464.0,0.2735435075028854
11500630,방화1동,7151921.75,710949.75,1142213.75,1853163.5,0.25911406259443487
11500640,방화2동,4231855.75,577662.0,812471.0,1390133.0,0.3284925295480594
11500641,방화3동,2381065.75,220308.75,383705.25,604014.0,0.25367380132195005
11530510,신도림동,6346223.5,693905.0,1063920.25,1757825.25,0.2769876053057381
11530520,구로1동,1915796.0,190568.25,326486.25,517054.5,0.269890165758776
11530530,구로2동,9021469.25,1003886.0,1459378.5,2463264.5,0.27304471497256394
11530540,구로3동,7289977.25,1096402.5,1513790.5,2610193.0,0.3580522833593205
11530550,구로4동,7323244.25,787779.75,1188503.25,1976283.0,0.26986441152771873
