행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,총매출건수,2030_매출건수,피크타임_매출비중,시간대추천,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,집계_기간수,분기별_매출안정성,2030_매출비율,객단가,새벽_매출비중,오전_매출비중,점심_매출비중,오후_매출비중,저녁_매출비중,심야_매출비중
11140670,황학동,898604279.75,152080.75,144992.0,65546.5,0.3280835831487785,11~14,564.25,21280.75,44265.75,36177.25,27514.5,15189.5,2891728.5,105115507.75,233165139.25,197345620.0,171650469.5,106831581.25,107633.5,173818936.75,293945245.0,212351630.5,190108493.25,28272340.75,4,0.8792324325736129,0.4520697693665857,5908.731248037638,0.00011977853035592556,0.19343212654001385,0.3271131148872096,0.236312729958373,0.21155974607965358,0.03146250400439404
11140680,중림동,791348400.75,94835.75,87296.5,45697.25,0.5206364791307431,11~14,238.5,15003.75,30693.5,18994.5,15039.25,7327.0,1920422.5,97036212.5,214616140.25,149918818.25,124520766.5,69805763.25,58682.5,126700753.25,411860413.5,144123673.5,99069620.0,9535258.0,4,0.9333511464335421,0.523471731398166,8344.410211866305,7.415507498894758e-05,0.16010742313994625,0.5204539658002209,0.18212417357943336,0.12519090189113521,0.012049380514275336
11170510,후암동,911425197.75,103483.0,93906.75,50153.25,0.5019492267803534,11~14,696.0,15767.75,34385.5,18590.5,16310.75,8156.25,3968953.5,139593638.5,276716913.25,157928398.75,126497518.0,63408948.5,0.0,95615496.25,457584197.5,217894504.5,127918362.75,12412636.75,4,0.9185671631730311,0.534075026555599,8807.48719838041,0.0,0.10490767260554379,0.5020534857162391,0.2390700904889482,0.14034982033170368,0.013618930857565267
11170520,용산2가동,1184116173.5,78021.25,77450.0,53958.25,0.3643481808235077,17~21,1147.75,27819.0,26139.25,9839.0,8390.0,4115.0,18893547.0,466866260.75,388903970.75,133839356.75,110073882.5,45822358.25,27789808.25,27776145.25,211320233.0,359549098.75,430360140.5,127320747.75,4,0.909691215385327,0.6966849580374435,15176.84186679911,0.023468819083738324,0.023457280519950604,0.17846241587544703,0.30364343195080934,0.3634441874296382,0.10752386514041648
11170530,남영동,4198799486.0,374492.5,326110.25,198618.75,0.34678608056077564,11~14,2720.75,83241.0,115377.75,62033.5,44565.75,18171.5,24802480.25,853324775.75,1080753836.0,672550765.75,425822916.75,170631344.75,45125288.75,535552983.5,1456014295.5,861053299.0,914881371.75,386172247.5,4,0.9320869359900513,0.6090539932430826,11211.972164996629,0.010747188309530054,0.12754907332100213,0.3467691897064312,0.20507130713695623,0.21789117932410837,0.09197206220197199
11170555,청파동,2320625079.75,366664.25,357278.75,234183.5,0.3577067783018313,11~14,19068.25,166139.0,68044.5,47787.75,41520.5,14718.75,86316368.5,814832141.25,477196649.75,353460460.5,274300713.75,123871512.5,11759811.25,363324068.0,832807603.75,581800787.0,469968588.0,60964221.75,4,0.8402326324671631,0.6554643957973991,6329.019204217482,0.0050675188131927285,0.1565630188048906,0.3588721034764125,0.250708652628488,0.20251810260131703,0.026270603675699156
11170560,원효로1동,1023277283.25,156204.75,144161.75,81715.75,0.4296664151768147,11~14,916.0,29203.0,52512.75,27636.0,24631.75,9262.25,5957459.5,185272509.25,311991704.0,167499555.25,161407094.75,53117755.5,872395.5,189156457.5,438875930.75,230924973.75,145734129.5,17713396.25,4,0.9291211463878402,0.5668337821925719,6550.8717452574265,0.0008525504418794591,0.18485356862338026,0.4288924790317825,0.22567194398820833,0.1424190020491203,0.017310455865629126
11170570,원효로2동,351412051.5,54474.0,48289.25,22542.25,0.4154224590447788,11~14,396.5,7608.75,14933.5,10095.25,9319.25,5936.0,2140210.0,39774341.75,85532908.25,61553170.75,57069803.0,41018406.25,105533.5,79631656.0,146174780.0,76013331.5,45842581.75,3644168.75,4,0.83159282333073,0.46681714874428576,6451.005094173367,0.0003003126943129325,0.22660479531106803,0.41596404954256383,0.2163082659673668,0.1304525031350554,0.010370073349632974
11170580,효창동,406392125.5,54415.5,52507.25,29904.5,0.3035888010354362,11~14,467.25,12059.25,17845.25,11093.5,7067.75,3974.25,2395395.25,89072699.0,139069332.5,71376592.5,49766902.25,28287706.75,110421.0,92870657.5,121718156.5,114768705.25,74907827.5,2016357.75,4,0.9073014538230953,0.5695308743078337,7468.315562661374,0.00027171048126029695,0.2285247465996976,0.2995091412025896,0.2824087821800081,0.18432401318760297,0.00496160634884152
11170590,용문동,157553574.5,24765.5,23336.25,9736.25,0.3329837239125881,11~14,89.25,3338.5,6397.75,4356.0,4564.25,4590.5,492328.25,20729877.75,41413581.0,25518282.25,26676987.25,29591051.5,147683.25,23765713.5,53497077.75,40405984.0,34563427.5,5173688.5,4,0.7693549407603517,0.4172157051797097,6361.816821788375,0.0009373525828828466,0.15084210926614045,0.3395484864102528,0.2564586943090904,0.21937571146632412,0.03283764596530941
11170625,한강로동,5489213956.25,593706.0,488239.75,280074.75,0.4322020469788785,11~14,4420.75,100850.25,179224.5,104952.75,64511.5,34280.0,34415090.5,855009307.25,1429750851.5,830745028.75,532131135.0,303833676.0,8463671.75,887515433.25,2373527768.5,1308635740.25,781368272.25,129703070.25,4,0.939376190023852,0.5736418429675175,9245.677079648849,0.0015418731748219237,0.16168351977599232,0.43239847953048166,0.23840129947202948,0.14234611339212544,0.023628714654549132
